defect,category,defect_family,classification_options,active,test_dependent,vision_eligible
2000 - Weak Seal,Seal Integrity,Seal Integrity,Critical|Class I|Class II|Class III,1,Yes,No
2001 - Narrow Seal Margin,Seal Integrity,Seal Margin / Channel,Critical|Class I|Class II|Class III,1,No,Yes
2002 - Excessive Pressure,Surface / Mechanical,Mechanical / Surface,Critical|Class I|Class II|Class III,1,No,Yes
2003 - Hole in the Cavity,Seal Integrity,Cavity,Critical|Class I|Class II|Class III,1,Yes,No
2004A - Seal into Cavity,Seal Integrity,Cavity,Critical|Class I|Class II|Class III,1,No,Yes
2004B - Crushed Cavity / Bottle-Capping,Surface / Mechanical,Cavity,Critical|Class I|Class II|Class III,1,No,Yes
2005 - Batch Print in the Cavity,Labeling & Print,Cavity,Critical|Class I|Class II|Class III,1,No,Yes
2006 - Wrinkles / Pleats,Seal Integrity,Seal Margin / Channel,Critical|Class I|Class II|Class III,1,Yes,No
2007 - Suture in the Seal,Entrapment / Foreign Material,Entrapment / Foreign,Critical|Class I|Class II|Class III,1,No,Yes
2008 - Needle in the Seal,Entrapment / Foreign Material,Entrapment / Foreign,Critical|Class I|Class II|Class III,1,No,Yes
2009 - Device / Folder / Collar / Reel / Tray in the Seal,Entrapment / Foreign Material,Entrapment / Foreign,Critical|Class I|Class II|Class III,1,No,Yes
2010 - No Top Tab,Converting / Die-cut / Web,Converting,Critical|Class I|Class II|Class III,1,No,Yes
2011 - Defective Second Seal Ribs,Seal Integrity,Seal Integrity,Critical|Class I|Class II|Class III,1,No,Yes
2012 - Label Position Incorrect,Labeling & Print,Label / Print,Critical|Class I|Class II|Class III,1,No,Yes
2013 - Label Print Cut Off,Labeling & Print,Label / Print,Critical|Class I|Class II|Class III,1,No,Yes
2014 - Rough Edges,Converting / Die-cut / Web,Converting,Critical|Class I|Class II|Class III,1,No,Yes
2015 - Improper Die Cut,Converting / Die-cut / Web,Converting,Critical|Class I|Class II|Class III,1,No,Yes
2016 - Adhering Trim,Converting / Die-cut / Web,Converting,Critical|Class I|Class II|Class III,1,No,Yes
2017 - Double Label or Bottom Stock,Seal Integrity,Label / Print,Critical|Class I|Class II|Class III,1,No,Yes
2018 - Folded Label,Seal Integrity,Label / Print,Critical|Class I|Class II|Class III,1,No,Yes
2019 - Friction Coating Voids,Seal Integrity,Coating / Delamination,Critical|Class I|Class II|Class III,1,No,Yes
2020 - Delamination,Seal Integrity,Coating / Delamination,Critical|Class I|Class II|Class III,1,No,Yes
2021 - Copy Off Register,Labeling & Print,Label / Print,Critical|Class I|Class II|Class III,1,No,Yes
2022 - Wrong / Missing / Illegible Expiry or DOM,Labeling & Print,Label / Print,Critical|Class I|Class II|Class III,1,Yes,No
2023 - Smeared Labels,Labeling & Print,Label / Print,Critical|Class I|Class II|Class III,1,No,Yes
2024 - Incorrect Tubing Fluid Level,Functional / Fill,Functional / Fill,Critical|Class I|Class II|Class III,1,Yes,No
2025 - Open Seal,Seal Integrity,Open Seal,Critical|Class I|Class II|Class III,1,No,Yes
2026 - Foreign Matter,Entrapment / Foreign Material,Entrapment / Foreign,Critical|Class I|Class II|Class III,1,No,Yes
